                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3096,                 4.8732,                 1.5872,                0.28201,                0.07619,                0.05062,                0.02127,                 1.8931,                 4.3426,                 1.5432,              7.777e-05,              7.777e-05,              7.777e-05
                      2,                 1.9996,                 2.8532,                 1.3767,                0.64807,                0.39569,                0.39419,                0.22364,                 1.6587,                 2.9484,                 1.3694,             0.00016005,             0.00016005,             0.00016005
                      3,                  1.834,                 1.7914,                 1.2452,                0.49379,                0.55153,                0.48817,                0.26483,                 1.6086,                  5.155,                 1.3137,             0.00023529,             0.00023529,             0.00023529
                      4,                 1.6726,                 1.4637,                 1.1826,                0.46973,                0.50685,                0.52772,                 0.3122,                 1.5585,                 3.4024,                 1.2837,             0.00030349,             0.00030349,             0.00030349
                      5,                 1.6604,                 1.3613,                 1.1607,                0.73636,                0.59747,                0.66274,                 0.3733,                 1.4483,                 1.8662,                 1.2016,             0.00036466,             0.00036466,             0.00036466
                      6,                 1.6634,                 1.3099,                 1.1748,                0.74329,                0.71218,                0.72164,                0.37862,                 1.4606,                 2.1888,                 1.2837,             0.00041878,             0.00041878,             0.00041878
                      7,                 1.6403,                 1.2228,                 1.1706,                0.67733,                0.81023,                0.78145,                0.42748,                 1.4875,                  1.773,                 1.3088,             0.00046586,             0.00046586,             0.00046586
                      8,                 1.5266,                 1.1339,                 1.1357,                0.81092,                 0.7214,                  0.811,                0.45354,                  1.462,                 1.6699,                 1.2967,             0.00050591,             0.00050591,             0.00050591
                      9,                 1.5153,                 1.1097,                 1.1456,                0.76682,                0.75257,                0.77318,                0.46294,                 1.4504,                 1.5043,                 1.2854,             0.00053891,             0.00053891,             0.00053891
                     10,                 1.5458,                 1.0529,                 1.1238,                0.73601,                 0.7351,                0.76505,                0.46269,                 1.4789,                 1.3443,                 1.2778,             0.00056488,             0.00056488,             0.00056488
                     11,                 1.5445,                 1.0699,                 1.1234,                0.81276,                0.71534,                0.79716,                0.44805,                 1.5354,                 1.3953,                 1.2872,             0.00058381,             0.00058381,             0.00058381
                     12,                 1.5015,                 1.0365,                 1.0925,                0.75616,                0.76701,                0.77737,                0.44489,                 1.5036,                 1.3789,                 1.2739,              0.0005957,              0.0005957,              0.0005957
                     13,                 1.4831,                0.98079,                  1.088,                0.80961,                0.76386,                0.78886,                0.44185,                 1.5324,                 1.5574,                  1.323,             0.00058305,             0.00058305,             0.00058305
                     14,                 1.4381,                0.93058,                  1.054,                0.85021,                0.71568,                0.80158,                0.44129,                 1.5513,                 1.3367,                 1.3621,             0.00058305,             0.00058305,             0.00058305
                     15,                 1.4448,                0.92858,                 1.0781,                0.87501,                0.63954,                0.76333,                 0.4276,                 1.4995,                 1.2323,                 1.3079,             0.00053906,             0.00053906,             0.00053906
                     16,                 1.4401,                0.95777,                 1.0786,                0.86277,                0.64819,                0.75296,                0.40605,                 1.5289,                 1.2403,                 1.2986,             0.00049506,             0.00049506,             0.00049506
                     17,                 1.3865,                0.92882,                 1.0623,                0.81797,                0.68995,                0.80492,                0.42012,                 1.5276,                 1.1777,                 1.2916,             0.00045107,             0.00045107,             0.00045107
                     18,                 1.3873,                0.86119,                 1.0805,                0.70934,                 0.8232,                0.79944,                0.46519,                 1.5199,                 1.1456,                 1.2736,             0.00040707,             0.00040707,             0.00040707
                     19,                 1.3351,                0.83503,                 1.0324,                0.78421,                0.81606,                0.80758,                0.46844,                 1.5166,                 1.1106,                 1.3073,             0.00036307,             0.00036307,             0.00036307
                     20,                 1.3182,                 0.8128,                 1.0309,                0.78277,                0.78364,                0.80241,                0.46519,                 1.5311,                 1.0721,                 1.2932,             0.00031908,             0.00031908,             0.00031908
                     21,                 1.2967,                0.77589,                 1.0145,                 0.7633,                0.77046,                0.82141,                0.46401,                 1.5194,                 1.0483,                 1.2474,             0.00027508,             0.00027508,             0.00027508
                     22,                 1.3189,                0.77034,                0.99594,                0.69199,                 0.8199,                0.82922,                0.46428,                 1.5595,                 1.0281,                 1.2657,             0.00023109,             0.00023109,             0.00023109
                     23,                 1.2644,                0.75873,                 1.0067,                0.75921,                0.81998,                0.84538,                0.45732,                 1.5685,                 0.9846,                 1.2732,             0.00018709,             0.00018709,             0.00018709
                     24,                 1.2719,                0.73653,                 1.0218,                0.81272,                0.78553,                0.84928,                0.45991,                  1.561,                0.95615,                 1.2639,              0.0001431,              0.0001431,              0.0001431
                     25,                 1.2485,                 0.7209,                0.99986,                0.85311,                0.82968,                0.89445,                0.47578,                 1.5544,                0.94243,                 1.2495,             9.9101e-05,             9.9101e-05,             9.9101e-05
